Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-24,167.05,167.07,164.0,164.59,24918100,0.0,0
2020-01-27,160.71,162.93,159.76,161.84,32078100,0.0,0
2020-01-28,163.33,165.31,162.63,165.01,24899900,0.0,0
2020-01-29,167.38,168.29,165.24,167.58,34754500,0.0,0
2020-01-30,173.58,173.58,170.32,172.31,51597500,0.0,0
2020-01-31,171.74,171.93,169.12,169.77,36142700,0.0,0
2020-02-03,169.97,174.02,169.94,173.9,30149100,0.0,0
2020-02-04,176.66,180.15,175.83,179.63,36433300,0.0,0
2020-02-05,183.53,183.7,177.92,179.41,39186300,0.0,0
2020-02-06,180.48,183.32,179.57,183.13,27751400,0.0,0
2020-02-07,182.35,185.12,181.98,183.39,33529100,0.0,0
2020-02-10,183.08,188.33,182.75,188.19,35844300,0.0,0
2020-02-11,190.13,190.18,183.0,183.94,53159900,0.0,0
2020-02-12,185.07,185.34,181.35,184.21,47062900,0.0,0
2020-02-13,182.58,185.72,182.37,183.21,35295800,0.0,0
2020-02-14,182.75,184.9,182.15,184.85,23149500,0.0,0
2020-02-18,185.1,187.19,184.99,186.72,27792200,0.0,0
2020-02-19,188.06,188.18,186.47,187.28,29997500,0.51,0
2020-02-20,186.95,187.25,181.1,184.42,36862400,0.0,0
2020-02-21,183.17,183.5,177.25,178.59,48572600,0.0,0
